0,swordman_male,4,4
1,swordman_female,4,4
2,mercenary_male,4,4
3,mercenary_female,4,4
4,elf_male1,4,4
5,elf_female1,4,4
6,knight_male,4,4
7,knight_female,4,4
8,fighter_male,4,4
9,fighter_female,4,4
10,magician_male,4,4
11,magician_female,4,4
12,thief_male,4,4
13,thief_female,4,4
14,ninjya,4,4
15,kunoichi,4,4
16,lancer_male,4,4
17,lancer_female,4,4
18,archer_male,4,4
19,archer_female,4,4
20,halfdevil_male,4,4
21,halfdevil_female,4,4
22,whiteknight_male,4,4
23,priest,4,4
24,priestess,4,4
25,young_male1,4,4
26,young_male2,4,4
27,young_female1,4,4
28,young_female2,4,4
29,child_male1,4,4
30,child_male2,4,4
31,child_male3,4,4
32,child_female1,4,4
33,child_female2,4,4
34,middle_male1,4,4
35,middle_male2,4,4
36,middle_female,4,4
37,old_male,4,4
38,old_female,4,4
39,dwarf_old,4,4
40,dwarf_child,4,4
41,elf_male2,4,4
42,elf_female2,4,4
43,king,4,4
44,queen,4,4
45,prince_child,4,4
46,prince_young,4,4
47,princess_child,4,4
48,princess_young,4,4
49,minister,4,4
50,soldier,4,4
51,butler,4,4
52,maid,4,4
53,witch,4,4
54,blue_slime,4,4
55,red_slime,4,4
56,goblin,4,4
57,dog,4,4
58,white_cat,4,4
59,black_cat,4,4
